c_id,date,price
345,2025-02-17,150
346,2025-02-17,300
348,2025-02-17,400
349,2025-02-17,500
350,2025-02-17,750
351,2025-02-17,850
352,2025-02-17,1700
353,2025-02-17,1400
354,2025-02-17,2200
358,2025-02-17,7500
359,2025-02-17,850
360,2025-02-17,1400
361,2025-02-17,2200
287,2025-02-24,2600
288,2025-02-24,3100
289,2025-02-24,250
290,2025-02-24,500
291,2025-02-24,2000
311,2025-02-24,2600
312,2025-02-24,1500
308,2025-02-24,9600
309,2025-02-24,13000
310,2025-02-24,6600
300,2025-02-24,1100
301,2025-02-24,1400
302,2025-02-24,2000
303,2025-02-24,1950
304,2025-02-24,2600
305,2025-02-24,950
306,2025-02-24,1450
292,2025-02-24,1800
295,2025-02-24,13000
294,2025-02-24,3600
293,2025-02-24,2400
298,2025-02-24,600
299,2025-02-24,1050
296,2025-02-24,2000
297,2025-02-24,3100
317,2025-02-24,1900
318,2025-02-24,2600
319,2025-02-24,3000
320,2025-02-24,3500
321,2025-02-24,3400
323,2025-02-24,2700
322,2025-02-24,3800
326,2025-02-24,1400
324,2025-02-24,3500
327,2025-02-24,2200
325,2025-02-24,6000
328,2025-02-24,950
329,2025-02-24,1500
330,2025-02-24,70000
331,2025-02-24,100000
332,2025-02-24,95000
333,2025-02-24,170000
334,2025-02-24,160000
335,2025-02-24,15000
336,2025-02-24,20500
337,2025-02-24,1200
338,2025-02-24,2800
339,2025-02-24,3000
340,2025-02-24,650
342,2025-02-24,600
343,2025-02-24,900
344,2025-02-24,1200
345,2025-02-24,150
346,2025-02-24,300
348,2025-02-24,400
349,2025-02-24,500
350,2025-02-24,750
351,2025-02-24,850
352,2025-02-24,1700
353,2025-02-24,1400
354,2025-02-24,2200
358,2025-02-24,7500
359,2025-02-24,850
360,2025-02-24,1400
361,2025-02-24,2200
287,2025-03-03,2600
288,2025-03-03,3100
289,2025-03-03,250
290,2025-03-03,500
291,2025-03-03,2000
311,2025-03-03,2600
312,2025-03-03,1500
308,2025-03-03,9600
309,2025-03-03,13000
310,2025-03-03,6600
300,2025-03-03,1100
301,2025-03-03,1400
302,2025-03-03,2000
303,2025-03-03,1950
304,2025-03-03,2600
305,2025-03-03,950
306,2025-03-03,1450
292,2025-03-03,1800
295,2025-03-03,13000
294,2025-03-03,3600
293,2025-03-03,2400
298,2025-03-03,600
299,2025-03-03,1050
296,2025-03-03,2000
297,2025-03-03,3100
317,2025-03-03,1900
318,2025-03-03,2600
319,2025-03-03,3000
320,2025-03-03,3500
321,2025-03-03,3400
323,2025-03-03,2700
322,2025-03-03,3800
326,2025-03-03,1400
324,2025-03-03,3500
327,2025-03-03,2200
325,2025-03-03,6000
328,2025-03-03,950
329,2025-03-03,1500
330,2025-03-03,70000
331,2025-03-03,100000
332,2025-03-03,95000
333,2025-03-03,170000
334,2025-03-03,160000
335,2025-03-03,15000
336,2025-03-03,20500
337,2025-03-03,1200
338,2025-03-03,2800
339,2025-03-03,3000
340,2025-03-03,650
342,2025-03-03,600
343,2025-03-03,900
344,2025-03-03,1200
345,2025-03-03,150
346,2025-03-03,300
348,2025-03-03,400
349,2025-03-03,500
350,2025-03-03,750
351,2025-03-03,850
352,2025-03-03,1700
353,2025-03-03,1400
354,2025-03-03,2200
358,2025-03-03,7500
359,2025-03-03,850
360,2025-03-03,1400
361,2025-03-03,2200
287,2025-03-10,2600
288,2025-03-10,3100
289,2025-03-10,250
290,2025-03-10,500
291,2025-03-10,2000
311,2025-03-10,2600
312,2025-03-10,1500
308,2025-03-10,9300
309,2025-03-10,12700
310,2025-03-10,6600
300,2025-03-10,1000
301,2025-03-10,1300
302,2025-03-10,2000
303,2025-03-10,1950
304,2025-03-10,2800
305,2025-03-10,950
306,2025-03-10,1450
292,2025-03-10,1800
295,2025-03-10,13000
294,2025-03-10,3600
293,2025-03-10,2400
298,2025-03-10,600
299,2025-03-10,1050
296,2025-03-10,2000
297,2025-03-10,3100
317,2025-03-10,1900
318,2025-03-10,2600
319,2025-03-10,3000
320,2025-03-10,3500
321,2025-03-10,3400
323,2025-03-10,2700
322,2025-03-10,3800
326,2025-03-10,1400
324,2025-03-10,3500
327,2025-03-10,2200
325,2025-03-10,6000
328,2025-03-10,900
329,2025-03-10,1500
330,2025-03-10,70000
331,2025-03-10,100000
332,2025-03-10,95000
333,2025-03-10,170000
334,2025-03-10,160000
335,2025-03-10,15000
336,2025-03-10,20500
337,2025-03-10,1150
338,2025-03-10,2800
339,2025-03-10,3000
340,2025-03-10,650
342,2025-03-10,600
343,2025-03-10,900
344,2025-03-10,1200
345,2025-03-10,150
346,2025-03-10,300
348,2025-03-10,400
349,2025-03-10,500
350,2025-03-10,750
351,2025-03-10,850
352,2025-03-10,1700
353,2025-03-10,1400
354,2025-03-10,2200
358,2025-03-10,7000
359,2025-03-10,850
360,2025-03-10,1400
361,2025-03-10,2200
287,2025-03-17,2600
288,2025-03-17,3100
289,2025-03-17,250
290,2025-03-17,500
291,2025-03-17,2000
311,2025-03-17,2600
312,2025-03-17,1500
308,2025-03-17,9300
309,2025-03-17,12700
310,2025-03-17,6600
300,2025-03-17,1000
301,2025-03-17,1300
302,2025-03-17,2000
303,2025-03-17,1950
304,2025-03-17,2800
305,2025-03-17,950
306,2025-03-17,1450
292,2025-03-17,1800
295,2025-03-17,13000
294,2025-03-17,3600
293,2025-03-17,2400
298,2025-03-17,600
299,2025-03-17,1050
296,2025-03-17,2000
297,2025-03-17,3100
317,2025-03-17,1900
318,2025-03-17,2600
319,2025-03-17,3000
320,2025-03-17,3500
321,2025-03-17,3400
323,2025-03-17,2700
322,2025-03-17,3800
326,2025-03-17,1400
324,2025-03-17,3500
327,2025-03-17,2200
325,2025-03-17,6000
328,2025-03-17,900
329,2025-03-17,1500
330,2025-03-17,70000
331,2025-03-17,100000
332,2025-03-17,95000
333,2025-03-17,170000
334,2025-03-17,160000
335,2025-03-17,15000
336,2025-03-17,20500
337,2025-03-17,1150
338,2025-03-17,2800
339,2025-03-17,3000
340,2025-03-17,650
342,2025-03-17,600
343,2025-03-17,900
344,2025-03-17,1200
345,2025-03-17,150
346,2025-03-17,300
348,2025-03-17,400
349,2025-03-17,500
350,2025-03-17,750
351,2025-03-17,850
352,2025-03-17,1700
353,2025-03-17,1400
354,2025-03-17,2200
358,2025-03-17,7000
359,2025-03-17,850
360,2025-03-17,1400
361,2025-03-17,2200
287,2025-03-24,2600
288,2025-03-24,3100
289,2025-03-24,250
290,2025-03-24,500
291,2025-03-24,2000
311,2025-03-24,2600
312,2025-03-24,1500
308,2025-03-24,9300
309,2025-03-24,12700
310,2025-03-24,6600
300,2025-03-24,1000
301,2025-03-24,1300
302,2025-03-24,2000
303,2025-03-24,1950
304,2025-03-24,2800
305,2025-03-24,950
306,2025-03-24,1450
292,2025-03-24,1800
295,2025-03-24,13000
294,2025-03-24,3600
293,2025-03-24,2400
298,2025-03-24,600
299,2025-03-24,1050
296,2025-03-24,2000
297,2025-03-24,3100
317,2025-03-24,1900
318,2025-03-24,2600
319,2025-03-24,3000
320,2025-03-24,3500
321,2025-03-24,3400
323,2025-03-24,2700
322,2025-03-24,3800
326,2025-03-24,1400
324,2025-03-24,3500
327,2025-03-24,2200
325,2025-03-24,6000
328,2025-03-24,900
329,2025-03-24,1500
330,2025-03-24,70000
331,2025-03-24,100000
332,2025-03-24,95000
333,2025-03-24,170000
334,2025-03-24,160000
335,2025-03-24,15000
336,2025-03-24,20500
337,2025-03-24,1150
338,2025-03-24,2800
339,2025-03-24,3000
340,2025-03-24,650
342,2025-03-24,600
343,2025-03-24,900
344,2025-03-24,1200
345,2025-03-24,150
346,2025-03-24,300
348,2025-03-24,400
349,2025-03-24,500
350,2025-03-24,750
351,2025-03-24,850
352,2025-03-24,1700
353,2025-03-24,1400
354,2025-03-24,2200
358,2025-03-24,7000
359,2025-03-24,850
360,2025-03-24,1400
361,2025-03-24,2200
287,2025-03-31,2600
288,2025-03-31,3100
289,2025-03-31,250
290,2025-03-31,500
291,2025-03-31,2000
311,2025-03-31,2600
312,2025-03-31,1500
308,2025-03-31,9300
309,2025-03-31,12700
310,2025-03-31,6600
300,2025-03-31,1000
301,2025-03-31,1300
302,2025-03-31,2000
